project_id,parcel_id,project_name,project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,compensation_pending_days,notification_status,approval_status,approval_processing_days,rehabilitation_progress,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,planned_completion_date,actual_completion_date,delay_days,delay_status,latitude,longitude
PRJ-1206,PCL-10031,Haryana Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Haryana,Faridabad,41.03,96,Medium,0.68,0,Partially Disbursed,167,Notification Pending,Under Scrutiny,194,0.96,Full Possession,High / Cooperative,142,0.26,2025-07-08,2025-08-03,26,0,29.332482,77.304642
PRJ-1182,PCL-10032,Western Freight Corridor Spur Line 4,Railway & Freight Corridor,Karnataka,Kalaburagi,48.93,81,Medium,0.69,0,Fully Disbursed,0,Possession Taken (Sec 38),Approved,59,0.41,Full Possession,Moderate,152,0.414,2026-02-12,2026-07-03,141,1,13.365059,76.510569
PRJ-1114,PCL-10033,NH-63 Four-Laning Bypass Section 3,Highway / Expressway,Odisha,Sundargarh,16.86,15,Medium,0.59,0,Fully Disbursed,0,Preliminary Notification (Sec 11),Approved,65,0.71,Initial Stage (<30%),Moderate,231,0.227,2026-10-05,2027-01-04,91,1,20.709024,85.106062
PRJ-1073,PCL-10034,Bharatmala Economic Highway Ring 1,Highway / Expressway,Uttar Pradesh,Noida,110.81,191,High,0.55,1,Disputed in Escrow,411,Award Declared (Sec 23),Approved,83,0.61,Full Possession,Moderate,120,0.651,2026-02-11,,432,1,26.234317,79.90256
PRJ-1176,PCL-10035,Wind-Solar Hybrid Energy Grid 4,Renewable / Solar Park,Uttar Pradesh,Noida,64.62,49,Very High,0.88,1,Partially Disbursed,173,Possession Taken (Sec 38),Resubmission Required,168,0.62,Partial Possession (30-70%),Moderate,125,0.352,2023-06-07,2024-05-08,336,1,27.253098,81.706552
PRJ-1095,PCL-10036,Jaipur Lift Irrigation Main Canal Reach 3,Irrigation / Water Canal,Rajasthan,Jaipur,79.47,80,Medium,0.7,0,Fully Disbursed,0,Preliminary Notification (Sec 11),Conditional Clearance,98,0.69,Full Possession,Low / Resistant,187,0.247,2025-01-11,2025-01-30,19,0,24.870102,74.928117
PRJ-1033,PCL-10037,Bharatmala Economic Highway Ring 2,Highway / Expressway,Karnataka,Dharwad,5.0,6,Medium,0.58,0,Partially Disbursed,155,Notification Pending,Resubmission Required,118,0.76,Full Possession,High / Cooperative,163,0.168,2023-12-06,2024-04-14,130,1,15.379005,77.108408
PRJ-1201,PCL-10038,Odisha Integrated Industrial Township 2,Industrial Corridor / SEZ,Odisha,Khurda,100.57,157,High,0.7,1,Pending Disbursal,133,Declaration Published (Sec 19),Approved,15,0.59,Partial Possession (30-70%),Hostile / Legal Injunction,202,0.498,2024-08-23,2025-11-03,437,1,21.076212,84.989397
PRJ-1192,PCL-10039,Karnataka Clean Energy Hub Sector 1,Renewable / Solar Park,Karnataka,Mysuru,18.49,23,Low,0.87,0,Partially Disbursed,74,Notification Pending,Approved,110,0.35,Full Possession,High / Cooperative,183,0.435,2025-06-18,2025-08-17,60,0,15.947839,76.18464
PRJ-1028,PCL-10040,Command Area Distribution Network 1,Irrigation / Water Canal,Gujarat,Ahmedabad,12.27,9,Low,0.96,0,Partially Disbursed,134,Possession Taken (Sec 38),Approved,43,0.35,Partial Possession (30-70%),High / Cooperative,393,0.85,2024-07-23,2024-12-19,149,1,23.560014,73.238105
PRJ-1043,PCL-10041,Salem Greenfield International Airport Phase 3,Airport Infrastructure,Tamil Nadu,Salem,23.7,38,Low,0.69,0,Partially Disbursed,174,Possession Taken (Sec 38),Under Scrutiny,214,0.94,Full Possession,High / Cooperative,101,0.185,2024-10-31,2025-01-30,91,1,11.472353,79.517231
PRJ-1188,PCL-10042,Andhra Pradesh Dedicated High-Speed Rail Segment 3,Railway & Freight Corridor,Andhra Pradesh,Krishna,10.51,22,Medium,0.68,0,Partially Disbursed,93,Award Declared (Sec 23),Pending Environmental Clearance,157,0.88,Full Possession,High / Cooperative,66,0.751,2025-03-19,2025-08-07,141,1,16.434991,81.758253
PRJ-1045,PCL-10043,Uttar Pradesh Clean Energy Hub Sector 2,Renewable / Solar Park,Uttar Pradesh,Prayagraj,40.21,69,Low,0.78,0,Fully Disbursed,0,Notification Pending,Under Scrutiny,79,0.73,Full Possession,Moderate,262,0.578,2024-12-29,,160,1,26.542838,83.417371
PRJ-1106,PCL-10044,Madhya Pradesh Green Express Corridor Phase 1,Highway / Expressway,Madhya Pradesh,Jabalpur,63.65,91,Medium,0.68,0,Fully Disbursed,0,Notification Pending,Approved,15,0.56,Initial Stage (<30%),High / Cooperative,203,0.32,2023-05-03,2023-05-17,14,0,25.593938,78.698476
PRJ-1049,PCL-10045,Odisha Inter-River Linking Canal Sector 4,Irrigation / Water Canal,Odisha,Angul,35.76,39,Low,0.72,0,Partially Disbursed,63,Declaration Published (Sec 19),Approved,52,0.89,Full Possession,High / Cooperative,216,0.706,2023-01-29,2023-04-30,91,1,19.902531,86.075254
PRJ-1202,PCL-10046,Andhra Pradesh Clean Energy Hub Sector 5,Renewable / Solar Park,Andhra Pradesh,Guntur,102.26,122,Medium,0.91,0,Pending Disbursal,137,Possession Taken (Sec 38),Under Scrutiny,109,0.84,Full Possession,High / Cooperative,107,0.184,2024-12-08,2024-12-28,20,0,16.203618,80.879385
PRJ-1250,PCL-10047,Andhra Pradesh Integrated Industrial Township 5,Industrial Corridor / SEZ,Andhra Pradesh,Guntur,31.83,58,Medium,0.52,0,Partially Disbursed,121,Preliminary Notification (Sec 11),Conditional Clearance,128,0.6,Substantial Possession (>70%),Moderate,330,0.386,2026-08-26,2026-09-03,8,0,15.490073,78.062118
PRJ-1254,PCL-10048,NH-50 Four-Laning Bypass Section 4,Highway / Expressway,Andhra Pradesh,Krishna,48.29,48,Medium,0.46,0,Fully Disbursed,0,Preliminary Notification (Sec 11),Approved,56,0.77,Substantial Possession (>70%),Moderate,218,0.599,2026-03-16,,10,0,15.231562,82.108884
PRJ-1081,PCL-10049,Industrial Rail Siding Network 4,Railway & Freight Corridor,Karnataka,Bengaluru Rural,32.25,76,Low,0.62,0,Partially Disbursed,70,Award Declared (Sec 23),Approved,118,0.72,Substantial Possession (>70%),Moderate,279,0.772,2025-10-07,2026-06-22,258,1,14.712301,74.552163
PRJ-1085,PCL-10050,Command Area Distribution Network 2,Irrigation / Water Canal,Andhra Pradesh,Visakhapatnam,84.39,147,High,0.82,1,Partially Disbursed,84,Possession Taken (Sec 38),Approved,52,0.48,Initial Stage (<30%),Moderate,95,0.252,2024-09-24,2025-06-30,279,1,14.277864,81.115461
PRJ-1228,PCL-10051,Udaipur Metro Rail Extension Corridor 1,Urban Metro / Transit,Rajasthan,Udaipur,40.43,165,Very High,0.66,1,Partially Disbursed,128,Preliminary Notification (Sec 11),Conditional Clearance,121,0.91,Substantial Possession (>70%),Moderate,162,0.331,2024-06-01,2025-07-05,399,1,24.090863,75.154023
PRJ-1154,PCL-10052,Command Area Distribution Network 2,Irrigation / Water Canal,Maharashtra,Pune,31.42,47,Low,0.94,1,Pending Disbursal,94,Notification Pending,Under Scrutiny,176,0.79,Partial Possession (30-70%),Hostile / Legal Injunction,351,0.276,2026-01-19,2027-01-29,375,1,18.447675,78.000147
PRJ-1078,PCL-10053,Salem Greenfield International Airport Phase 1,Airport Infrastructure,Tamil Nadu,Salem,27.3,76,Low,0.35,1,Partially Disbursed,128,Award Declared (Sec 23),Resubmission Required,203,0.51,Partial Possession (30-70%),Hostile / Legal Injunction,152,0.415,2026-08-13,2028-01-09,514,1,12.67764,78.959836
PRJ-1044,PCL-10054,Urban Flyover & Transit Hub 2,Urban Metro / Transit,Madhya Pradesh,Jabalpur,10.54,38,Low,0.75,1,Disputed in Escrow,628,Award Declared (Sec 23),Approved,15,0.63,Initial Stage (<30%),Low / Resistant,250,0.581,2023-04-08,2024-04-17,375,1,23.141935,78.896394
PRJ-1201,PCL-10055,Odisha Integrated Industrial Township 2,Industrial Corridor / SEZ,Odisha,Khurda,33.02,43,Very High,0.72,1,Pending Disbursal,126,Notification Pending,Pending Environmental Clearance,138,0.7,Full Possession,Low / Resistant,328,0.755,2024-08-23,2025-12-28,492,1,20.318409,84.197337
PRJ-1163,PCL-10056,Uttar Pradesh Integrated Industrial Township 3,Industrial Corridor / SEZ,Uttar Pradesh,Agra,19.74,33,Medium,0.82,0,Pending Disbursal,127,Preliminary Notification (Sec 11),Under Scrutiny,233,0.56,Full Possession,Moderate,227,0.556,2026-04-29,2026-10-27,181,1,25.498742,82.698396
PRJ-1204,PCL-10057,Gujarat Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Gujarat,Bharuch,25.63,37,Medium,0.83,1,Pending Disbursal,168,Award Declared (Sec 23),Approved,49,0.82,Substantial Possession (>70%),Moderate,188,0.591,2024-09-18,2024-10-20,32,0,22.519171,71.815711
PRJ-1080,PCL-10058,Belagavi Cargo Terminal Expansion 3,Airport Infrastructure,Karnataka,Belagavi,55.58,177,Very High,0.95,1,Disputed in Escrow,553,Declaration Published (Sec 19),Approved,104,0.69,Substantial Possession (>70%),Low / Resistant,151,0.847,2026-02-11,2027-05-05,448,1,15.178312,75.800341
PRJ-1029,PCL-10059,Jodhpur Cargo Terminal Expansion 1,Airport Infrastructure,Rajasthan,Jodhpur,32.45,125,Low,0.81,0,Fully Disbursed,0,Award Declared (Sec 23),Under Scrutiny,196,0.47,Partial Possession (30-70%),Moderate,216,0.802,2025-10-10,,44,0,25.410876,75.425992
PRJ-1065,PCL-10060,Karnal Multi-Modal Logistics Park 3,Industrial Corridor / SEZ,Haryana,Karnal,22.31,23,Low,0.8,1,Pending Disbursal,358,Preliminary Notification (Sec 11),Approved,60,0.7,Contested / Encroached,Low / Resistant,242,0.395,2027-01-28,2028-01-27,364,1,29.849463,77.209574
PRJ-1185,PCL-10061,Bhopal Ultra Mega Solar Park Unit 2,Renewable / Solar Park,Madhya Pradesh,Bhopal,59.27,52,Low,0.79,0,Partially Disbursed,59,Declaration Published (Sec 19),Conditional Clearance,144,0.85,Full Possession,Moderate,156,0.505,2026-11-26,,21,0,22.293932,80.549903
PRJ-1024,PCL-10062,Industrial Rail Siding Network 5,Railway & Freight Corridor,Karnataka,Kalaburagi,39.41,40,High,0.76,1,Disputed in Escrow,559,Possession Taken (Sec 38),Approved,89,0.86,Partial Possession (30-70%),Hostile / Legal Injunction,348,0.722,2026-08-23,2028-02-13,539,1,14.861646,75.775534
PRJ-1040,PCL-10063,DMIC Special Investment Region Node 1,Industrial Corridor / SEZ,Tamil Nadu,Madurai,31.46,51,Low,0.68,0,Fully Disbursed,0,Possession Taken (Sec 38),Approved,73,0.35,Substantial Possession (>70%),High / Cooperative,195,0.281,2025-05-05,2025-05-08,3,0,11.493222,77.420143
PRJ-1168,PCL-10064,Aviation Logistics Runway Package 3,Airport Infrastructure,Haryana,Panipat,10.46,38,Low,0.87,0,Fully Disbursed,0,Award Declared (Sec 23),Under Scrutiny,122,0.8,Substantial Possession (>70%),Moderate,305,0.355,2026-05-13,,0,0,28.257325,76.417818
PRJ-1126,PCL-10065,Uttar Pradesh Clean Energy Hub Sector 4,Renewable / Solar Park,Uttar Pradesh,Lucknow,75.04,71,Medium,0.75,0,Fully Disbursed,0,Award Declared (Sec 23),Approved,33,0.33,Partial Possession (30-70%),Moderate,225,0.493,2024-09-28,2024-11-10,43,0,25.561926,83.084947
PRJ-1158,PCL-10066,Urban Flyover & Transit Hub 3,Urban Metro / Transit,Haryana,Karnal,9.43,12,Medium,0.81,0,Partially Disbursed,53,Preliminary Notification (Sec 11),Pending Environmental Clearance,86,0.45,Initial Stage (<30%),High / Cooperative,203,0.222,2023-09-14,2023-09-30,16,0,28.299478,76.556648
PRJ-1191,PCL-10067,Haryana Green Express Corridor Phase 4,Highway / Expressway,Haryana,Karnal,36.52,56,Medium,0.71,0,Partially Disbursed,45,Possession Taken (Sec 38),Under Scrutiny,122,0.35,Full Possession,Moderate,152,0.106,2024-06-27,2024-10-24,119,1,29.150299,76.971009
PRJ-1162,PCL-10068,Suburban Commuter Rapid Transit Line 4,Urban Metro / Transit,Haryana,Karnal,184.22,545,Medium,0.79,0,Pending Disbursal,159,Notification Pending,Approved,22,0.33,Full Possession,High / Cooperative,209,0.347,2023-05-29,2023-07-25,57,0,30.272501,76.29661
PRJ-1161,PCL-10069,Andhra Pradesh Integrated Industrial Township 1,Industrial Corridor / SEZ,Andhra Pradesh,Visakhapatnam,126.74,240,Medium,0.54,0,Fully Disbursed,0,Declaration Published (Sec 19),Conditional Clearance,119,0.86,Full Possession,High / Cooperative,40,0.471,2023-06-19,2023-08-07,49,0,15.838655,80.67603
PRJ-1021,PCL-10070,Karnataka Integrated Industrial Township 3,Industrial Corridor / SEZ,Karnataka,Belagavi,12.58,24,Medium,0.74,1,Fully Disbursed,0,Award Declared (Sec 23),Approved,40,0.28,Contested / Encroached,Low / Resistant,106,0.45,2025-09-25,2026-07-02,280,1,13.603602,77.291034
PRJ-1232,PCL-10071,Maharashtra Inter-River Linking Canal Sector 4,Irrigation / Water Canal,Maharashtra,Nagpur,87.4,69,Low,0.83,0,Fully Disbursed,0,Declaration Published (Sec 19),Approved,15,0.23,Partial Possession (30-70%),Moderate,243,0.461,2026-08-29,2027-03-22,205,1,19.662266,76.570774
PRJ-1044,PCL-10072,Urban Flyover & Transit Hub 2,Urban Metro / Transit,Madhya Pradesh,Jabalpur,64.77,245,Low,0.62,0,Fully Disbursed,0,Declaration Published (Sec 19),Approved,46,0.63,Partial Possession (30-70%),High / Cooperative,226,0.673,2023-04-08,2023-05-19,41,0,24.612225,76.706452
PRJ-1063,PCL-10073,Western Freight Corridor Spur Line 2,Railway & Freight Corridor,Uttar Pradesh,Varanasi,100.7,93,Medium,0.89,0,Fully Disbursed,0,Possession Taken (Sec 38),Approved,66,0.51,Full Possession,Moderate,130,0.35,2023-06-17,2023-09-16,91,1,25.195167,80.539373
PRJ-1144,PCL-10074,Urban Flyover & Transit Hub 5,Urban Metro / Transit,Uttar Pradesh,Noida,53.51,183,High,0.88,1,Disputed in Escrow,425,Preliminary Notification (Sec 11),Approved,20,0.55,Partial Possession (30-70%),Low / Resistant,148,0.488,2026-01-13,2027-06-04,507,1,26.566439,78.85261
PRJ-1128,PCL-10075,Gujarat Green Express Corridor Phase 2,Highway / Expressway,Gujarat,Rajkot,70.78,109,Very High,0.23,1,Pending Disbursal,338,Award Declared (Sec 23),Pending Environmental Clearance,180,0.94,Initial Stage (<30%),Low / Resistant,163,0.235,2025-04-05,,434,1,22.879188,72.57954
PRJ-1164,PCL-10076,Karnal Metro Rail Extension Corridor 4,Urban Metro / Transit,Haryana,Karnal,38.35,144,Low,0.96,0,Fully Disbursed,0,Notification Pending,Resubmission Required,143,0.87,Contested / Encroached,Moderate,30,0.807,2024-09-29,2025-02-05,129,1,29.483079,75.605677
PRJ-1124,PCL-10077,Industrial Rail Siding Network 2,Railway & Freight Corridor,Haryana,Panipat,20.4,52,Low,0.83,1,Disputed in Escrow,588,Possession Taken (Sec 38),Approved,107,0.72,Contested / Encroached,Hostile / Legal Injunction,381,0.752,2026-09-30,,499,1,28.689665,77.100942
PRJ-1163,PCL-10078,Uttar Pradesh Integrated Industrial Township 3,Industrial Corridor / SEZ,Uttar Pradesh,Agra,38.39,60,Low,0.49,0,Partially Disbursed,174,Declaration Published (Sec 19),Conditional Clearance,189,0.72,Partial Possession (30-70%),Moderate,167,0.543,2026-04-29,2026-06-04,36,0,27.791115,81.817183
PRJ-1090,PCL-10079,Haryana Dedicated High-Speed Rail Segment 5,Railway & Freight Corridor,Haryana,Gurugram,47.69,62,Low,0.5,1,Disputed in Escrow,283,Declaration Published (Sec 19),Approved,15,0.82,Substantial Possession (>70%),Moderate,191,0.56,2023-10-27,2024-09-08,317,1,29.227047,75.721489
PRJ-1166,PCL-10080,Uttar Pradesh Green Express Corridor Phase 3,Highway / Expressway,Uttar Pradesh,Varanasi,63.6,108,Low,0.52,0,Fully Disbursed,0,Preliminary Notification (Sec 11),Approved,52,0.4,Initial Stage (<30%),High / Cooperative,202,0.215,2025-08-06,,36,0,25.25249,78.847645
PRJ-1155,PCL-10081,Andhra Pradesh Inter-River Linking Canal Sector 5,Irrigation / Water Canal,Andhra Pradesh,Guntur,89.18,145,Medium,0.5,0,Fully Disbursed,0,Notification Pending,Under Scrutiny,176,0.78,Initial Stage (<30%),Moderate,192,0.752,2022-06-15,2022-06-28,13,0,15.469454,82.831717
PRJ-1115,PCL-10082,Wind-Solar Hybrid Energy Grid 4,Renewable / Solar Park,Madhya Pradesh,Jabalpur,53.03,74,Medium,0.82,0,Fully Disbursed,0,Notification Pending,Approved,73,0.68,Contested / Encroached,High / Cooperative,31,0.446,2023-05-31,2023-07-13,43,0,24.978339,80.262507
PRJ-1017,PCL-10083,Madurai Metro Rail Extension Corridor 2,Urban Metro / Transit,Tamil Nadu,Madurai,10.65,26,Medium,0.33,1,Pending Disbursal,259,Preliminary Notification (Sec 11),Approved,125,0.65,Contested / Encroached,Low / Resistant,276,0.144,2025-03-21,2026-03-20,364,1,10.169078,78.036472
PRJ-1046,PCL-10084,Maharashtra Dedicated High-Speed Rail Segment 4,Railway & Freight Corridor,Maharashtra,Nashik,33.03,52,Low,0.52,0,Partially Disbursed,119,Award Declared (Sec 23),Conditional Clearance,146,0.55,Partial Possession (30-70%),High / Cooperative,259,0.576,2024-05-01,2024-12-10,223,1,20.432819,77.338157
PRJ-1225,PCL-10085,Sundargarh Greenfield International Airport Phase 3,Airport Infrastructure,Odisha,Sundargarh,27.63,102,Medium,0.51,0,Fully Disbursed,0,Possession Taken (Sec 38),Conditional Clearance,79,0.66,Substantial Possession (>70%),High / Cooperative,253,0.504,2024-10-04,,1,0,21.45472,86.666575
