parcel_id,project_id,state,district,latitude,longitude,project_type,land_area_acres,affected_families,affected_family_density,land_area_per_family,documentation_completeness_pct,rehabilitation_progress_pct,legal_dispute_indicator,compensation_pending_days,approval_processing_days,approval_delay_days,administrative_processing_days,historical_delay_rate,compensation_status,notification_status,approval_status,possession_status,stakeholder_responsiveness,ownership_complexity,ownership_complexity_score,stakeholder_response_score,possession_progress_score,operational_friction_index,target_delay_status,target_delay_days
PCL-10020,PRJ-1244,Karnataka,Mysuru,13.878366,77.50731,Airport Infrastructure,21.09,65,3.082,0.3245,80.0,34.0,0,0,16,0,184,0.322,Fully Disbursed,Award Declared (Sec 23),Approved,Full Possession,Moderate,Low,1,3,5,21.25,1,91
PCL-10021,PRJ-1204,Gujarat,Bharuch,23.743737,70.366818,Irrigation / Water Canal,31.86,54,1.6949,0.59,79.0,39.0,0,128,168,108,291,0.451,Partially Disbursed,Declaration Published (Sec 19),Conditional Clearance,Partial Possession (30-70%),Moderate,Medium,2,3,3,30.22,1,338
PCL-10022,PRJ-1178,Andhra Pradesh,Guntur,14.286264,80.191732,Railway & Freight Corridor,30.3,61,2.0132,0.4967,41.0,54.0,0,0,15,0,335,0.813,Fully Disbursed,Award Declared (Sec 23),Approved,Full Possession,Low / Resistant,Low,1,2,5,36.46,0,15
PCL-10023,PRJ-1252,Maharashtra,Solapur,18.711601,76.589441,Renewable / Solar Park,8.41,20,2.3781,0.4205,52.0,45.0,0,105,174,114,270,0.416,Partially Disbursed,Declaration Published (Sec 19),Conditional Clearance,Full Possession,Moderate,Low,1,3,5,33.29,1,113
PCL-10024,PRJ-1079,Haryana,Hisar,29.825173,76.151689,Irrigation / Water Canal,92.03,76,0.8258,1.2109,61.0,80.0,0,0,70,10,180,0.503,Fully Disbursed,Declaration Published (Sec 19),Approved,Substantial Possession (>70%),High / Cooperative,Low,1,4,4,16.55,0,0
PCL-10025,PRJ-1053,Haryana,Hisar,28.113029,76.222437,Renewable / Solar Park,12.85,2,0.1556,6.4218,58.0,65.0,0,0,147,87,99,0.797,Fully Disbursed,Possession Taken (Sec 38),Conditional Clearance,Partial Possession (30-70%),High / Cooperative,Medium,2,4,3,15.61,1,179
PCL-10026,PRJ-1125,Uttar Pradesh,Prayagraj,26.994665,78.965748,Highway / Expressway,15.61,14,0.8969,1.1149,30.0,42.0,0,0,40,0,30,0.485,Fully Disbursed,Possession Taken (Sec 38),Approved,Full Possession,Moderate,Low,1,3,5,24.68,0,29
PCL-10027,PRJ-1127,Andhra Pradesh,Kurnool,17.221958,80.479432,Urban Metro / Transit,30.27,95,3.1384,0.3186,66.0,62.0,1,284,35,0,199,0.74,Pending Disbursal,Award Declared (Sec 23),Approved,Partial Possession (30-70%),High / Cooperative,Medium,2,4,3,54.73,1,205
PCL-10028,PRJ-1070,Rajasthan,Jaipur,25.371915,74.608946,Irrigation / Water Canal,38.97,55,1.4113,0.7085,74.0,46.0,0,0,149,89,296,0.297,Fully Disbursed,Possession Taken (Sec 38),Resubmission Required,Partial Possession (30-70%),High / Cooperative,Medium,2,4,3,21.7,0,21
PCL-10029,PRJ-1202,Andhra Pradesh,Guntur,15.656068,82.617129,Renewable / Solar Park,16.44,4,0.2433,4.109,93.0,51.0,0,0,116,56,139,0.591,Fully Disbursed,Possession Taken (Sec 38),Pending Environmental Clearance,Full Possession,Moderate,Very High,4,3,5,15.26,0,23
PCL-10030,PRJ-1036,Haryana,Gurugram,30.015517,77.061748,Highway / Expressway,40.04,50,1.2488,0.8008,73.0,97.0,0,138,15,0,80,0.496,Partially Disbursed,Possession Taken (Sec 38),Approved,Contested / Encroached,Moderate,Medium,2,3,1,18.12,1,100
PCL-10031,PRJ-1206,Haryana,Faridabad,29.332482,77.304642,Irrigation / Water Canal,41.03,96,2.3398,0.4274,68.0,96.0,0,167,194,134,142,0.26,Partially Disbursed,Notification Pending,Under Scrutiny,Full Possession,High / Cooperative,Medium,2,4,5,18.99,0,26
PCL-10032,PRJ-1182,Karnataka,Kalaburagi,13.365059,76.510569,Railway & Freight Corridor,48.93,81,1.6554,0.6041,69.0,41.0,0,0,59,0,152,0.414,Fully Disbursed,Possession Taken (Sec 38),Approved,Full Possession,Moderate,Medium,2,3,5,21.55,1,141
PCL-10033,PRJ-1114,Odisha,Sundargarh,20.709024,85.106062,Highway / Expressway,16.86,15,0.8897,1.1239,59.0,71.0,0,0,65,5,231,0.227,Fully Disbursed,Preliminary Notification (Sec 11),Approved,Initial Stage (<30%),Moderate,Medium,2,3,2,23.51,1,91
PCL-10034,PRJ-1073,Uttar Pradesh,Noida,26.234317,79.90256,Highway / Expressway,110.81,191,1.7237,0.5802,55.0,61.0,1,411,83,23,120,0.651,Disputed in Escrow,Award Declared (Sec 23),Approved,Full Possession,Moderate,High,3,3,5,61.15,1,432
PCL-10035,PRJ-1176,Uttar Pradesh,Noida,27.253098,81.706552,Renewable / Solar Park,64.62,49,0.7583,1.3187,88.0,62.0,1,173,168,108,125,0.352,Partially Disbursed,Possession Taken (Sec 38),Resubmission Required,Partial Possession (30-70%),Moderate,Very High,4,3,3,46.75,1,336
PCL-10036,PRJ-1095,Rajasthan,Jaipur,24.870102,74.928117,Irrigation / Water Canal,79.47,80,1.0067,0.9934,70.0,69.0,0,0,98,38,187,0.247,Fully Disbursed,Preliminary Notification (Sec 11),Conditional Clearance,Full Possession,Low / Resistant,Medium,2,2,5,23.61,0,19
PCL-10037,PRJ-1033,Karnataka,Dharwad,15.379005,77.108408,Highway / Expressway,5.0,6,1.2,0.8332,58.0,76.0,0,155,118,58,163,0.168,Partially Disbursed,Notification Pending,Resubmission Required,Full Possession,High / Cooperative,Medium,2,4,5,23.28,1,130
PCL-10038,PRJ-1201,Odisha,Khurda,21.076212,84.989397,Industrial Corridor / SEZ,100.57,157,1.5611,0.6406,70.0,59.0,1,133,15,0,202,0.498,Pending Disbursal,Declaration Published (Sec 19),Approved,Partial Possession (30-70%),Hostile / Legal Injunction,High,3,1,3,59.39,1,437
PCL-10039,PRJ-1192,Karnataka,Mysuru,15.947839,76.18464,Renewable / Solar Park,18.49,23,1.2439,0.8039,87.0,35.0,0,74,110,50,183,0.435,Partially Disbursed,Notification Pending,Approved,Full Possession,High / Cooperative,Low,1,4,5,19.0,0,60
PCL-10040,PRJ-1028,Gujarat,Ahmedabad,23.560014,73.238105,Irrigation / Water Canal,12.27,9,0.7335,1.3632,96.0,35.0,0,134,43,0,393,0.85,Partially Disbursed,Possession Taken (Sec 38),Approved,Partial Possession (30-70%),High / Cooperative,Low,1,4,3,27.54,1,149
PCL-10041,PRJ-1043,Tamil Nadu,Salem,11.472353,79.517231,Airport Infrastructure,23.7,38,1.6034,0.6237,69.0,94.0,0,174,214,154,101,0.185,Partially Disbursed,Possession Taken (Sec 38),Under Scrutiny,Full Possession,High / Cooperative,Low,1,4,5,17.74,1,91
PCL-10042,PRJ-1188,Andhra Pradesh,Krishna,16.434991,81.758253,Railway & Freight Corridor,10.51,22,2.0932,0.4777,68.0,88.0,0,93,157,97,66,0.751,Partially Disbursed,Award Declared (Sec 23),Pending Environmental Clearance,Full Possession,High / Cooperative,Medium,2,4,5,13.9,1,141
PCL-10043,PRJ-1045,Uttar Pradesh,Prayagraj,26.542838,83.417371,Renewable / Solar Park,40.21,69,1.716,0.5827,78.0,73.0,0,0,79,19,262,0.578,Fully Disbursed,Notification Pending,Under Scrutiny,Full Possession,Moderate,Low,1,3,5,20.67,1,160
PCL-10044,PRJ-1106,Madhya Pradesh,Jabalpur,25.593938,78.698476,Highway / Expressway,63.65,91,1.4297,0.6994,68.0,56.0,0,0,15,0,203,0.32,Fully Disbursed,Notification Pending,Approved,Initial Stage (<30%),High / Cooperative,Medium,2,4,2,18.41,0,14
PCL-10045,PRJ-1049,Odisha,Angul,19.902531,86.075254,Irrigation / Water Canal,35.76,39,1.0906,0.9169,72.0,89.0,0,63,52,0,216,0.706,Partially Disbursed,Declaration Published (Sec 19),Approved,Full Possession,High / Cooperative,Low,1,4,5,17.39,1,91
PCL-10046,PRJ-1202,Andhra Pradesh,Guntur,16.203618,80.879385,Renewable / Solar Park,102.26,122,1.193,0.8382,91.0,84.0,0,137,109,49,107,0.184,Pending Disbursal,Possession Taken (Sec 38),Under Scrutiny,Full Possession,High / Cooperative,Medium,2,4,5,13.04,0,20
PCL-10047,PRJ-1250,Andhra Pradesh,Guntur,15.490073,78.062118,Industrial Corridor / SEZ,31.83,58,1.8222,0.5488,52.0,60.0,0,121,128,68,330,0.386,Partially Disbursed,Preliminary Notification (Sec 11),Conditional Clearance,Substantial Possession (>70%),Moderate,Medium,2,3,4,34.7,0,8
PCL-10048,PRJ-1254,Andhra Pradesh,Krishna,15.231562,82.108884,Highway / Expressway,48.29,48,0.994,1.006,46.0,77.0,0,0,56,0,218,0.599,Fully Disbursed,Preliminary Notification (Sec 11),Approved,Substantial Possession (>70%),Moderate,Medium,2,3,4,25.02,0,10
PCL-10049,PRJ-1081,Karnataka,Bengaluru Rural,14.712301,74.552163,Railway & Freight Corridor,32.25,76,2.3566,0.4243,62.0,72.0,0,70,118,58,279,0.772,Partially Disbursed,Award Declared (Sec 23),Approved,Substantial Possession (>70%),Moderate,Low,1,3,4,27.49,1,258
PCL-10050,PRJ-1085,Andhra Pradesh,Visakhapatnam,14.277864,81.115461,Irrigation / Water Canal,84.39,147,1.7419,0.5741,82.0,48.0,1,84,52,0,95,0.252,Partially Disbursed,Possession Taken (Sec 38),Approved,Initial Stage (<30%),Moderate,High,3,3,2,44.56,1,279
PCL-10051,PRJ-1228,Rajasthan,Udaipur,24.090863,75.154023,Urban Metro / Transit,40.43,165,4.0811,0.245,66.0,91.0,1,128,121,61,162,0.331,Partially Disbursed,Preliminary Notification (Sec 11),Conditional Clearance,Substantial Possession (>70%),Moderate,Very High,4,3,4,47.79,1,399
PCL-10052,PRJ-1154,Maharashtra,Pune,18.447675,78.000147,Irrigation / Water Canal,31.42,47,1.4959,0.6685,94.0,79.0,1,94,176,116,351,0.276,Pending Disbursal,Notification Pending,Under Scrutiny,Partial Possession (30-70%),Hostile / Legal Injunction,Low,1,1,3,56.58,1,375
PCL-10053,PRJ-1078,Tamil Nadu,Salem,12.67764,78.959836,Airport Infrastructure,27.3,76,2.7839,0.3592,35.0,51.0,1,128,203,143,152,0.415,Partially Disbursed,Award Declared (Sec 23),Resubmission Required,Partial Possession (30-70%),Hostile / Legal Injunction,Low,1,1,3,65.11,1,514
PCL-10054,PRJ-1044,Madhya Pradesh,Jabalpur,23.141935,78.896394,Urban Metro / Transit,10.54,38,3.6053,0.2774,75.0,63.0,1,628,15,0,250,0.581,Disputed in Escrow,Award Declared (Sec 23),Approved,Initial Stage (<30%),Low / Resistant,Low,1,2,2,65.57,1,375
PCL-10055,PRJ-1201,Odisha,Khurda,20.318409,84.197337,Industrial Corridor / SEZ,33.02,43,1.3022,0.7679,72.0,70.0,1,126,138,78,328,0.755,Pending Disbursal,Notification Pending,Pending Environmental Clearance,Full Possession,Low / Resistant,Very High,4,2,5,58.58,1,492
PCL-10056,PRJ-1163,Uttar Pradesh,Agra,25.498742,82.698396,Industrial Corridor / SEZ,19.74,33,1.6717,0.5982,82.0,56.0,0,127,233,173,227,0.556,Pending Disbursal,Preliminary Notification (Sec 11),Under Scrutiny,Full Possession,Moderate,Medium,2,3,5,25.48,1,181
PCL-10057,PRJ-1204,Gujarat,Bharuch,22.519171,71.815711,Irrigation / Water Canal,25.63,37,1.4436,0.6927,83.0,82.0,1,168,49,0,188,0.591,Pending Disbursal,Award Declared (Sec 23),Approved,Substantial Possession (>70%),Moderate,Medium,2,3,4,47.9,0,32
PCL-10058,PRJ-1080,Karnataka,Belagavi,15.178312,75.800341,Airport Infrastructure,55.58,177,3.1846,0.314,95.0,69.0,1,553,104,44,151,0.847,Disputed in Escrow,Declaration Published (Sec 19),Approved,Substantial Possession (>70%),Low / Resistant,Very High,4,2,4,57.26,1,448
PCL-10059,PRJ-1029,Rajasthan,Jodhpur,25.410876,75.425992,Airport Infrastructure,32.45,125,3.8521,0.2596,81.0,47.0,0,0,196,136,216,0.802,Fully Disbursed,Award Declared (Sec 23),Under Scrutiny,Partial Possession (30-70%),Moderate,Low,1,3,3,20.95,0,44
PCL-10060,PRJ-1065,Haryana,Karnal,29.849463,77.209574,Industrial Corridor / SEZ,22.31,23,1.0309,0.97,80.0,70.0,1,358,60,0,242,0.395,Pending Disbursal,Preliminary Notification (Sec 11),Approved,Contested / Encroached,Low / Resistant,Low,1,2,1,63.29,1,364
PCL-10061,PRJ-1185,Madhya Pradesh,Bhopal,22.293932,80.549903,Renewable / Solar Park,59.27,52,0.8773,1.1398,79.0,85.0,0,59,144,84,156,0.505,Partially Disbursed,Declaration Published (Sec 19),Conditional Clearance,Full Possession,Moderate,Low,1,3,5,17.72,0,21
PCL-10062,PRJ-1024,Karnataka,Kalaburagi,14.861646,75.775534,Railway & Freight Corridor,39.41,40,1.015,0.9852,76.0,86.0,1,559,89,29,348,0.722,Disputed in Escrow,Possession Taken (Sec 38),Approved,Partial Possession (30-70%),Hostile / Legal Injunction,High,3,1,3,70.5,1,539
PCL-10063,PRJ-1040,Tamil Nadu,Madurai,11.493222,77.420143,Industrial Corridor / SEZ,31.46,51,1.6211,0.6169,68.0,35.0,0,0,73,13,195,0.281,Fully Disbursed,Possession Taken (Sec 38),Approved,Substantial Possession (>70%),High / Cooperative,Low,1,4,4,20.21,0,3
PCL-10064,PRJ-1168,Haryana,Panipat,28.257325,76.417818,Airport Infrastructure,10.46,38,3.6329,0.2753,87.0,80.0,0,0,122,62,305,0.355,Fully Disbursed,Award Declared (Sec 23),Under Scrutiny,Substantial Possession (>70%),Moderate,Low,1,3,4,19.79,0,0
PCL-10065,PRJ-1126,Uttar Pradesh,Lucknow,25.561926,83.084947,Renewable / Solar Park,75.04,71,0.9462,1.0569,75.0,33.0,0,0,33,0,225,0.493,Fully Disbursed,Award Declared (Sec 23),Approved,Partial Possession (30-70%),Moderate,Medium,2,3,3,23.89,0,43
PCL-10066,PRJ-1158,Haryana,Karnal,28.299478,76.556648,Urban Metro / Transit,9.43,12,1.2725,0.7858,81.0,45.0,0,53,86,26,203,0.222,Partially Disbursed,Preliminary Notification (Sec 11),Pending Environmental Clearance,Initial Stage (<30%),High / Cooperative,Medium,2,4,2,19.09,0,16
PCL-10067,PRJ-1191,Haryana,Karnal,29.150299,76.971009,Highway / Expressway,36.52,56,1.5334,0.6521,71.0,35.0,0,45,122,62,152,0.106,Partially Disbursed,Possession Taken (Sec 38),Under Scrutiny,Full Possession,Moderate,Medium,2,3,5,23.6,1,119
PCL-10068,PRJ-1162,Haryana,Karnal,30.272501,76.29661,Urban Metro / Transit,184.22,545,2.9584,0.338,79.0,33.0,0,159,22,0,209,0.347,Pending Disbursal,Notification Pending,Approved,Full Possession,High / Cooperative,Medium,2,4,5,25.27,0,57
PCL-10069,PRJ-1161,Andhra Pradesh,Visakhapatnam,15.838655,80.67603,Industrial Corridor / SEZ,126.74,240,1.8936,0.5281,54.0,86.0,0,0,119,59,40,0.471,Fully Disbursed,Declaration Published (Sec 19),Conditional Clearance,Full Possession,High / Cooperative,Medium,2,4,5,12.1,0,49
PCL-10070,PRJ-1021,Karnataka,Belagavi,13.603602,77.291034,Industrial Corridor / SEZ,12.58,24,1.9078,0.5241,74.0,28.0,1,0,40,0,106,0.45,Fully Disbursed,Award Declared (Sec 23),Approved,Contested / Encroached,Low / Resistant,Medium,2,2,1,48.88,1,280
PCL-10071,PRJ-1232,Maharashtra,Nagpur,19.662266,76.570774,Irrigation / Water Canal,87.4,69,0.7895,1.2666,83.0,23.0,0,0,15,0,243,0.461,Fully Disbursed,Declaration Published (Sec 19),Approved,Partial Possession (30-70%),Moderate,Low,1,3,3,23.96,1,205
PCL-10072,PRJ-1044,Madhya Pradesh,Jabalpur,24.612225,76.706452,Urban Metro / Transit,64.77,245,3.7826,0.2644,62.0,63.0,0,0,46,0,226,0.673,Fully Disbursed,Declaration Published (Sec 19),Approved,Partial Possession (30-70%),High / Cooperative,Low,1,4,3,19.78,0,41
PCL-10073,PRJ-1063,Uttar Pradesh,Varanasi,25.195167,80.539373,Railway & Freight Corridor,100.7,93,0.9235,1.0828,89.0,51.0,0,0,66,6,130,0.35,Fully Disbursed,Possession Taken (Sec 38),Approved,Full Possession,Moderate,Medium,2,3,5,15.72,1,91
PCL-10074,PRJ-1144,Uttar Pradesh,Noida,26.566439,78.85261,Urban Metro / Transit,53.51,183,3.4199,0.2924,88.0,55.0,1,425,20,0,148,0.488,Disputed in Escrow,Preliminary Notification (Sec 11),Approved,Partial Possession (30-70%),Low / Resistant,High,3,2,3,59.95,1,507
PCL-10075,PRJ-1128,Gujarat,Rajkot,22.879188,72.57954,Highway / Expressway,70.78,109,1.54,0.6494,23.0,94.0,1,338,180,120,163,0.235,Pending Disbursal,Award Declared (Sec 23),Pending Environmental Clearance,Initial Stage (<30%),Low / Resistant,Very High,4,2,2,68.5,1,434
PCL-10076,PRJ-1164,Haryana,Karnal,29.483079,75.605677,Urban Metro / Transit,38.35,144,3.7549,0.2663,96.0,87.0,0,0,143,83,30,0.807,Fully Disbursed,Notification Pending,Resubmission Required,Contested / Encroached,Moderate,Low,1,3,1,6.98,1,129
PCL-10077,PRJ-1124,Haryana,Panipat,28.689665,77.100942,Railway & Freight Corridor,20.4,52,2.549,0.3923,83.0,72.0,1,588,107,47,381,0.752,Disputed in Escrow,Possession Taken (Sec 38),Approved,Contested / Encroached,Hostile / Legal Injunction,Low,1,1,1,71.74,1,499
PCL-10078,PRJ-1163,Uttar Pradesh,Agra,27.791115,81.817183,Industrial Corridor / SEZ,38.39,60,1.5629,0.6398,49.0,72.0,0,174,189,129,167,0.543,Partially Disbursed,Declaration Published (Sec 19),Conditional Clearance,Partial Possession (30-70%),Moderate,Low,1,3,3,30.16,0,36
PCL-10079,PRJ-1090,Haryana,Gurugram,29.227047,75.721489,Railway & Freight Corridor,47.69,62,1.3001,0.7692,50.0,82.0,1,283,15,0,191,0.56,Disputed in Escrow,Declaration Published (Sec 19),Approved,Substantial Possession (>70%),Moderate,Low,1,3,4,59.34,1,317
PCL-10080,PRJ-1166,Uttar Pradesh,Varanasi,25.25249,78.847645,Highway / Expressway,63.6,108,1.6981,0.5889,52.0,40.0,0,0,52,0,202,0.215,Fully Disbursed,Preliminary Notification (Sec 11),Approved,Initial Stage (<30%),High / Cooperative,Low,1,4,2,23.18,0,36
PCL-10081,PRJ-1155,Andhra Pradesh,Guntur,15.469454,82.831717,Irrigation / Water Canal,89.18,145,1.6259,0.615,50.0,78.0,0,0,176,116,192,0.752,Fully Disbursed,Notification Pending,Under Scrutiny,Initial Stage (<30%),Moderate,Medium,2,3,2,23.15,0,13
PCL-10082,PRJ-1115,Madhya Pradesh,Jabalpur,24.978339,80.262507,Renewable / Solar Park,53.03,74,1.3954,0.7166,82.0,68.0,0,0,73,13,31,0.446,Fully Disbursed,Notification Pending,Approved,Contested / Encroached,High / Cooperative,Medium,2,4,1,7.96,0,43
PCL-10083,PRJ-1017,Tamil Nadu,Madurai,10.169078,78.036472,Urban Metro / Transit,10.65,26,2.4413,0.4096,33.0,65.0,1,259,125,65,276,0.144,Pending Disbursal,Preliminary Notification (Sec 11),Approved,Contested / Encroached,Low / Resistant,Medium,2,2,1,70.39,1,364
PCL-10084,PRJ-1046,Maharashtra,Nashik,20.432819,77.338157,Railway & Freight Corridor,33.03,52,1.5743,0.6352,52.0,55.0,0,119,146,86,259,0.576,Partially Disbursed,Award Declared (Sec 23),Conditional Clearance,Partial Possession (30-70%),High / Cooperative,Low,1,4,3,28.7,1,223
PCL-10085,PRJ-1225,Odisha,Sundargarh,21.45472,86.666575,Airport Infrastructure,27.63,102,3.6916,0.2709,51.0,66.0,0,0,79,19,253,0.504,Fully Disbursed,Possession Taken (Sec 38),Conditional Clearance,Substantial Possession (>70%),High / Cooperative,Medium,2,4,4,22.69,0,1
PCL-10086,PRJ-1232,Maharashtra,Nagpur,18.263757,78.46288,Irrigation / Water Canal,5.0,5,1.0,0.9998,74.0,51.0,1,126,145,85,191,0.481,Partially Disbursed,Declaration Published (Sec 19),Conditional Clearance,Initial Stage (<30%),Low / Resistant,Low,1,2,2,54.94,1,337
PCL-10087,PRJ-1248,Karnataka,Kalaburagi,16.002073,75.930235,Irrigation / Water Canal,109.31,164,1.5003,0.6665,82.0,43.0,1,187,170,110,277,0.08,Pending Disbursal,Possession Taken (Sec 38),Under Scrutiny,Contested / Encroached,Moderate,High,3,3,1,56.12,1,316
PCL-10088,PRJ-1145,Tamil Nadu,Tiruchirappalli,10.561162,77.347339,Urban Metro / Transit,11.19,32,2.8597,0.3497,83.0,65.0,1,0,15,0,222,0.303,Fully Disbursed,Preliminary Notification (Sec 11),Approved,Initial Stage (<30%),High / Cooperative,Medium,2,4,2,40.22,0,26
PCL-10089,PRJ-1103,Madhya Pradesh,Bhopal,22.476742,76.374499,Irrigation / Water Canal,14.05,2,0.1423,7.0215,63.0,64.0,1,421,204,144,220,0.293,Disputed in Escrow,Possession Taken (Sec 38),Pending Environmental Clearance,Partial Possession (30-70%),Low / Resistant,Very High,4,2,3,66.75,1,564
PCL-10090,PRJ-1199,Karnataka,Belagavi,13.455918,77.383577,Renewable / Solar Park,27.06,28,1.0347,0.9664,53.0,93.0,0,0,132,72,227,0.438,Fully Disbursed,Award Declared (Sec 23),Under Scrutiny,Full Possession,High / Cooperative,Medium,2,4,5,18.61,0,46
