project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,approval_status,rehabilitation_status,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,is_delayed,delay_duration_days
Mining,Karnataka,Ballari,38.55,70,0.17,0.46,0,0.59,0.47,0.63,0.57,0.37,184,0.16,0,0
Urban Infrastructure,Madhya Pradesh,Gwalior,70.93,119,0.84,0.91,1,0.4,0.33,0.5,0.21,0.63,172,0.1,1,289
Urban Infrastructure,Maharashtra,Pune,24.56,22,0.34,0.8,0,0.38,0.59,0.36,0.18,0.87,179,0.54,0,0
Industrial Corridors,Rajasthan,Jodhpur,23.67,59,0.27,0.45,0,0.35,0.99,0.4,0.64,0.67,168,0.59,1,183
Urban Infrastructure,Gujarat,Rajkot,26.22,71,0.34,0.27,1,0.31,0.87,0.32,0.9,0.54,180,0.26,1,221
Highways,Bihar,Darbhanga,13.76,21,0.58,0.68,1,0.86,0.34,0.28,0.58,0.31,96,0.26,0,0
Solar Parks,Odisha,Cuttack,19.18,42,0.16,0.4,1,0.93,0.43,0.63,0.77,0.33,154,0.28,1,212
Highways,Madhya Pradesh,Ujjain,18.56,48,0.51,0.61,1,0.73,0.93,0.56,0.2,0.56,170,0.55,1,256
Solar Parks,Gujarat,Ahmedabad,33.1,61,0.86,0.93,1,0.13,0.91,0.76,0.64,0.55,140,0.47,1,247
Urban Infrastructure,Tamil Nadu,Kanchipuram,64.65,96,0.26,0.65,0,0.81,0.24,0.38,0.71,0.59,103,0.12,0,0
Urban Infrastructure,Gujarat,Rajkot,105.95,81,0.38,0.92,1,0.58,0.85,0.51,0.09,0.58,160,0.43,1,281
Mining,Bihar,Muzaffarpur,34.67,42,0.44,0.51,0,0.78,0.37,0.71,0.14,0.46,346,0.06,0,0
Solar Parks,Tamil Nadu,Tiruchirappalli,47.71,71,0.6,0.69,0,0.49,0.59,0.97,0.75,0.72,122,0.48,0,0
Urban Infrastructure,Madhya Pradesh,Bhopal,40.23,80,0.88,0.9,0,0.14,0.1,0.41,0.45,0.36,153,0.51,1,215
Industrial Corridors,Bihar,Bhagalpur,6.2,17,0.44,0.66,0,0.71,1.0,0.37,0.42,0.84,216,0.54,0,0
Railways,Uttar Pradesh,Varanasi,13.22,23,0.16,0.68,0,0.5,0.78,0.5,0.88,0.35,239,0.43,1,193
Mining,Odisha,Cuttack,60.89,38,0.4,0.76,1,0.89,0.32,0.75,0.94,0.51,133,0.16,0,0
Highways,Madhya Pradesh,Jabalpur,65.81,97,0.26,0.89,1,0.76,0.72,0.97,0.74,0.36,203,0.53,0,0
Mining,Uttar Pradesh,Kanpur,64.62,35,0.65,0.27,1,0.42,0.36,0.58,0.76,0.66,195,0.59,1,244
Railways,Rajasthan,Udaipur,28.72,23,0.12,0.46,0,0.75,0.18,0.83,0.24,0.56,137,0.43,0,0
Solar Parks,Madhya Pradesh,Jabalpur,6.71,25,0.35,0.51,0,0.55,0.48,0.52,0.22,0.48,188,0.22,0,0
Highways,Rajasthan,Jaipur,14.54,32,0.56,0.91,0,0.28,0.65,0.14,0.93,0.56,152,0.16,1,149
Highways,Tamil Nadu,Kanchipuram,16.44,33,0.34,0.95,0,0.48,0.18,0.9,0.68,0.52,131,0.19,0,0
Solar Parks,Uttar Pradesh,Gorakhpur,54.76,41,0.57,0.29,0,0.3,0.57,0.36,0.67,0.84,237,0.06,0,0
Water Resources,Odisha,Sundargarh,24.88,63,0.2,0.29,1,0.1,0.56,0.22,0.31,0.29,189,0.06,1,282
Water Resources,Bihar,Bhagalpur,128.04,76,0.9,0.93,1,0.32,0.67,1.0,0.85,0.79,84,0.23,0,0
Mining,West Bengal,Hooghly,107.14,112,0.35,0.43,0,0.29,0.32,0.41,0.09,0.69,154,0.6,0,0
Urban Infrastructure,Gujarat,Ahmedabad,126.34,234,0.88,0.39,1,0.1,0.12,0.22,0.3,0.46,136,0.42,1,306
Water Resources,Maharashtra,Thane,15.91,22,0.38,0.23,1,0.81,0.39,0.38,0.21,0.89,150,0.28,1,326
Mining,Odisha,Jharsuguda,49.04,58,0.76,0.41,0,0.17,0.46,0.56,0.69,0.33,183,0.06,0,0
Water Resources,Uttar Pradesh,Gorakhpur,22.6,32,0.31,0.74,0,0.5,0.67,0.18,0.69,0.43,173,0.64,0,0
Railways,West Bengal,Paschim Bardhaman,43.05,89,0.67,0.53,1,0.48,0.94,0.42,0.53,0.48,224,0.32,0,0
Industrial Corridors,Odisha,Angul,17.38,29,0.38,0.6,0,0.26,0.28,0.7,0.05,0.69,214,0.64,1,201
Urban Infrastructure,Uttar Pradesh,Kanpur,88.32,158,0.53,0.92,0,0.97,0.72,0.92,0.84,0.91,105,0.48,1,142
Mining,Karnataka,Belagavi,17.65,20,0.67,0.29,0,0.64,0.19,0.46,0.91,0.65,155,0.08,0,0
Industrial Corridors,Karnataka,Belagavi,6.97,35,0.6,0.26,1,0.83,0.27,0.61,0.23,0.84,72,0.57,1,273
Industrial Corridors,Rajasthan,Bhilwara,168.51,256,0.59,0.86,0,0.55,0.56,0.67,0.81,0.88,115,0.37,0,0
Water Resources,Odisha,Cuttack,47.18,99,0.16,0.8,0,0.75,0.74,0.16,0.93,0.55,65,0.32,0,0
Solar Parks,Karnataka,Mysuru,14.08,27,0.31,0.41,1,0.97,0.87,0.41,0.34,0.55,89,0.5,1,204
Railways,Uttar Pradesh,Kanpur,29.08,66,0.59,0.45,1,0.41,0.77,0.72,0.22,0.39,223,0.51,1,280
Railways,Rajasthan,Udaipur,20.87,39,0.12,0.44,0,0.55,0.11,0.76,0.93,0.65,193,0.53,0,0
Railways,Uttar Pradesh,Kanpur,33.27,52,0.31,0.71,0,0.56,0.72,0.42,0.1,0.29,187,0.51,1,225
Urban Infrastructure,Rajasthan,Jodhpur,62.94,55,0.29,0.25,0,0.99,0.84,0.11,0.3,0.68,212,0.43,0,0
Highways,Odisha,Bhubaneswar,55.51,88,0.31,0.58,0,0.31,0.57,0.11,0.72,0.87,187,0.46,0,0
Urban Infrastructure,West Bengal,Paschim Bardhaman,40.57,43,0.56,0.3,0,0.71,0.97,0.58,0.61,0.77,156,0.57,1,188
Mining,Bihar,Muzaffarpur,33.25,51,0.59,0.84,0,0.22,0.1,0.6,0.67,0.69,133,0.46,0,0
Industrial Corridors,Madhya Pradesh,Ujjain,78.49,52,0.87,0.5,0,0.93,0.84,0.6,0.69,0.83,236,0.11,0,0
Industrial Corridors,West Bengal,Murshidabad,7.1,27,0.43,0.61,0,0.63,0.4,0.75,0.67,0.75,218,0.44,0,0
Highways,Tamil Nadu,Coimbatore,18.19,35,0.89,0.22,0,0.87,0.69,0.93,0.36,0.6,150,0.15,0,0
Mining,Uttar Pradesh,Gorakhpur,15.14,48,0.65,0.25,0,0.91,0.72,0.99,0.33,0.59,194,0.06,1,201
Highways,Tamil Nadu,Coimbatore,74.07,125,0.88,0.73,0,0.6,0.38,0.73,0.44,0.28,34,0.18,1,214
Industrial Corridors,West Bengal,Murshidabad,18.33,41,0.81,0.8,1,0.71,1.0,0.56,0.78,0.53,196,0.14,1,197
Water Resources,Rajasthan,Bhilwara,11.84,26,0.68,0.75,1,0.73,0.19,0.23,0.89,0.59,137,0.11,0,0
Urban Infrastructure,Madhya Pradesh,Bhopal,51.39,86,0.4,0.77,0,0.51,0.24,0.45,0.46,0.55,282,0.18,0,0
Railways,Madhya Pradesh,Gwalior,16.01,49,0.3,0.28,0,0.49,0.9,0.62,0.13,0.78,211,0.39,1,275
Industrial Corridors,Maharashtra,Aurangabad,25.01,38,0.29,0.74,0,0.27,0.21,1.0,0.89,0.32,71,0.14,0,0
Solar Parks,Madhya Pradesh,Jabalpur,222.5,347,0.91,0.34,0,0.45,0.44,0.21,0.12,0.8,127,0.22,1,224
Railways,Bihar,Bhagalpur,62.16,113,0.91,0.28,0,0.99,0.76,0.81,0.19,0.76,162,0.56,0,0
Industrial Corridors,Madhya Pradesh,Bhopal,27.97,74,0.72,0.79,0,0.34,0.81,1.0,0.83,0.88,158,0.58,1,164
Urban Infrastructure,West Bengal,Hooghly,30.06,20,0.85,0.89,1,0.79,0.96,0.82,0.55,0.48,156,0.25,0,0
Highways,Maharashtra,Pune,68.44,49,0.88,0.76,0,0.15,0.81,0.79,0.37,0.33,204,0.59,0,0
Water Resources,West Bengal,North 24 Parganas,56.28,68,0.53,0.83,0,0.52,0.86,0.33,0.89,0.77,135,0.4,0,0
Water Resources,West Bengal,Murshidabad,35.18,68,0.63,0.97,0,0.15,0.95,0.1,0.91,0.64,156,0.19,0,0
Railways,Gujarat,Kutch,35.98,25,0.46,0.31,0,0.53,0.6,0.3,0.35,0.73,228,0.5,1,195
Urban Infrastructure,Maharashtra,Nashik,10.14,27,0.46,0.95,0,0.12,0.41,0.81,0.83,0.95,229,0.6,1,146
Water Resources,West Bengal,Hooghly,8.57,40,0.13,0.67,0,0.65,0.79,0.2,0.66,0.35,203,0.45,0,0
Water Resources,Gujarat,Ahmedabad,28.75,56,0.47,0.83,1,0.63,0.25,0.37,0.3,0.51,144,0.17,0,0
Mining,Gujarat,Kutch,19.95,35,0.67,0.71,1,0.82,0.16,0.61,0.9,0.34,128,0.1,1,292
Solar Parks,Maharashtra,Thane,52.92,80,0.46,0.64,0,0.62,0.81,0.62,0.11,0.85,158,0.19,0,0
Railways,Tamil Nadu,Tiruchirappalli,38.77,70,0.84,0.75,1,0.93,0.96,0.59,0.34,0.21,161,0.25,1,235
Highways,Rajasthan,Bhilwara,17.85,29,0.38,0.45,0,0.8,0.5,0.98,0.41,0.3,158,0.25,0,0
Water Resources,Bihar,Patna,37.73,20,0.21,0.92,1,0.22,0.25,0.11,0.67,0.39,185,0.35,0,0
Mining,Rajasthan,Jaipur,23.7,62,0.79,0.29,1,0.34,0.55,0.54,0.08,0.78,176,0.35,1,259
Urban Infrastructure,Madhya Pradesh,Ujjain,173.0,232,0.67,0.45,1,0.12,0.45,0.55,0.85,0.67,174,0.33,1,236
Water Resources,Bihar,Gaya,45.11,40,0.31,0.22,0,0.45,0.44,0.36,0.64,0.49,138,0.26,0,0
Solar Parks,Madhya Pradesh,Ujjain,9.5,32,0.56,0.41,1,0.56,0.67,0.57,0.3,0.32,106,0.11,1,288
Highways,West Bengal,Murshidabad,142.08,125,0.44,0.37,0,0.95,0.26,0.71,0.64,0.44,191,0.3,1,162
Urban Infrastructure,Uttar Pradesh,Kanpur,19.96,24,0.9,0.24,1,0.57,0.44,0.71,0.53,0.76,162,0.64,1,253
Urban Infrastructure,Maharashtra,Nashik,15.18,37,0.62,0.58,0,0.8,0.88,0.18,0.35,0.49,178,0.44,0,0
Railways,Bihar,Muzaffarpur,184.0,175,0.23,0.57,0,0.34,0.76,0.82,0.08,0.55,179,0.31,0,0
Water Resources,Bihar,Gaya,43.67,47,0.53,0.26,0,0.24,0.15,0.94,0.55,0.66,68,0.1,1,171
Railways,West Bengal,Paschim Bardhaman,58.01,105,0.83,0.4,1,0.83,0.56,0.21,0.12,0.88,237,0.18,1,319
Highways,Tamil Nadu,Tiruchirappalli,59.53,44,0.67,0.94,0,0.32,0.18,0.47,0.78,0.39,134,0.39,1,195
Water Resources,Gujarat,Vadodara,28.08,64,0.82,0.29,1,0.88,0.96,0.56,0.13,0.54,221,0.35,0,0
Industrial Corridors,West Bengal,Paschim Bardhaman,20.95,48,0.31,0.44,1,0.25,0.32,0.22,0.44,0.43,179,0.06,1,257
Water Resources,Karnataka,Bengaluru Urban,23.87,23,0.86,0.23,0,0.87,0.94,0.55,0.44,0.55,111,0.1,0,0
Industrial Corridors,Gujarat,Kutch,119.95,68,0.74,0.32,1,0.8,0.85,0.29,0.55,0.72,128,0.26,1,232
Urban Infrastructure,Maharashtra,Thane,38.98,56,0.72,0.75,0,0.65,0.6,0.94,0.09,0.56,128,0.13,0,0
Railways,Gujarat,Kutch,94.66,142,0.39,0.49,0,0.87,0.4,0.5,0.23,0.83,131,0.62,0,0
Solar Parks,Tamil Nadu,Salem,31.15,37,0.85,0.55,1,0.4,0.87,1.0,0.23,0.61,80,0.07,1,209
Water Resources,Gujarat,Vadodara,18.1,40,0.64,0.32,1,0.25,0.24,0.14,0.59,0.49,124,0.63,1,274
Solar Parks,Maharashtra,Thane,10.45,41,0.82,0.73,0,0.24,0.26,0.21,0.29,0.79,203,0.44,0,0
Water Resources,Tamil Nadu,Madurai,55.61,24,0.41,0.79,0,0.34,0.3,0.5,0.18,0.52,208,0.29,1,182
Urban Infrastructure,Rajasthan,Jaipur,128.42,212,0.22,0.34,0,0.5,0.64,0.89,0.07,0.59,129,0.37,0,0
Railways,Bihar,Bhagalpur,16.3,23,0.38,0.24,0,0.89,0.38,0.6,0.81,0.95,75,0.3,0,0
Highways,Bihar,Darbhanga,49.93,53,0.49,0.26,1,0.18,0.99,0.76,0.92,0.79,188,0.39,1,232
Highways,Madhya Pradesh,Jabalpur,11.02,11,0.55,0.71,1,0.92,0.28,0.48,0.68,0.84,111,0.14,0,0
Highways,Rajasthan,Bhilwara,21.23,33,0.53,0.31,1,0.93,0.83,0.14,0.42,0.64,114,0.12,1,236
Water Resources,Rajasthan,Jodhpur,41.03,71,0.56,0.59,1,0.75,0.19,0.68,0.16,0.46,147,0.37,1,241
Water Resources,Gujarat,Vadodara,8.31,6,0.82,0.32,1,0.91,0.42,0.67,0.48,0.94,143,0.09,1,209
Solar Parks,Bihar,Bhagalpur,32.64,42,0.24,0.33,0,0.79,0.32,0.16,0.46,0.38,124,0.23,0,0
Railways,Maharashtra,Nashik,16.96,27,0.37,0.2,0,0.58,0.98,0.25,0.43,0.85,128,0.61,0,0
Water Resources,Odisha,Angul,53.72,57,0.86,0.45,0,0.64,0.12,0.53,0.39,0.88,137,0.58,1,300
Railways,Odisha,Jharsuguda,29.01,37,0.58,0.27,1,0.67,0.75,0.5,0.5,0.81,127,0.55,1,317
Solar Parks,Tamil Nadu,Madurai,70.21,120,0.6,0.51,0,0.21,0.32,0.78,0.12,0.29,130,0.35,1,222
Water Resources,Bihar,Bhagalpur,26.48,39,0.51,0.67,0,0.27,0.83,0.45,0.08,0.84,146,0.07,1,209
Highways,Bihar,Gaya,11.14,25,0.57,0.49,0,0.57,0.38,0.7,0.11,0.7,175,0.12,1,219
Highways,Odisha,Jharsuguda,10.08,34,0.27,0.75,0,0.2,0.27,0.73,0.23,0.71,171,0.6,0,0
Urban Infrastructure,Bihar,Gaya,7.19,13,0.56,0.78,0,0.97,0.72,0.68,0.3,0.79,135,0.55,0,0
Industrial Corridors,Gujarat,Vadodara,54.95,58,0.95,0.74,1,0.56,0.33,0.64,0.2,0.57,145,0.28,1,256
Mining,Karnataka,Dakshina Kannada,256.26,256,0.58,0.93,1,0.44,0.54,0.83,0.28,0.4,220,0.49,1,420
Industrial Corridors,Uttar Pradesh,Gorakhpur,46.91,58,0.14,0.39,0,0.24,0.22,0.69,0.22,0.63,204,0.56,1,224
Water Resources,Rajasthan,Kota,126.17,104,0.78,0.35,0,0.47,0.75,0.85,0.19,0.28,184,0.42,1,210
Railways,Madhya Pradesh,Ujjain,82.01,172,0.44,0.68,0,0.37,0.47,0.67,0.31,0.71,80,0.56,0,0
Water Resources,Tamil Nadu,Kanchipuram,21.87,52,0.23,0.66,0,0.18,0.23,0.24,0.41,0.56,164,0.2,1,227
Railways,Karnataka,Dakshina Kannada,91.13,94,0.83,0.6,0,0.97,0.77,0.38,0.72,0.58,129,0.33,1,181
Railways,Odisha,Cuttack,22.58,52,0.27,0.2,0,0.34,0.19,0.4,0.91,0.34,116,0.4,1,224
Industrial Corridors,Rajasthan,Udaipur,22.94,35,0.88,0.63,1,0.72,0.62,0.18,0.88,0.23,143,0.43,1,263
Mining,Bihar,Muzaffarpur,28.03,71,0.48,0.93,0,0.18,0.65,0.72,0.48,0.66,207,0.64,0,0
Urban Infrastructure,Madhya Pradesh,Ujjain,29.11,42,0.73,0.46,1,0.92,0.94,0.64,0.47,0.69,199,0.56,0,0
Industrial Corridors,Bihar,Gaya,56.21,29,0.56,0.95,0,0.63,0.24,0.63,0.16,0.57,132,0.08,1,190
Mining,Maharashtra,Nashik,19.36,16,0.32,0.48,1,0.69,0.69,0.53,0.92,0.77,163,0.15,1,203
Highways,Maharashtra,Aurangabad,67.44,112,0.67,0.31,1,0.8,0.44,0.59,0.73,0.62,141,0.44,1,256
Highways,Madhya Pradesh,Gwalior,66.67,77,0.91,0.51,0,0.65,0.46,0.11,0.81,0.84,149,0.19,1,256
Railways,Madhya Pradesh,Ujjain,43.57,85,0.75,0.59,0,0.16,0.55,0.19,0.26,0.42,204,0.15,0,0
Solar Parks,Odisha,Bhubaneswar,156.29,72,0.61,0.69,1,0.49,0.31,0.72,0.41,0.38,157,0.45,1,259
Water Resources,Madhya Pradesh,Gwalior,92.75,74,0.94,0.59,0,0.34,0.52,0.34,0.14,0.4,80,0.37,1,229
Water Resources,Gujarat,Kutch,77.93,53,0.33,0.62,0,0.54,0.72,0.2,0.9,0.22,166,0.53,1,182
Railways,Bihar,Patna,34.92,47,0.15,0.22,1,0.46,0.51,0.4,0.31,0.88,241,0.24,0,0
Solar Parks,Karnataka,Ballari,43.88,46,0.13,0.4,0,0.84,0.14,0.33,0.59,0.95,128,0.25,1,155
Mining,West Bengal,North 24 Parganas,50.35,34,0.7,0.44,0,0.32,0.33,0.13,0.19,0.81,229,0.14,1,232
Highways,Madhya Pradesh,Bhopal,33.47,53,0.81,0.97,1,0.28,0.42,0.47,0.77,0.51,187,0.44,1,326
Water Resources,Tamil Nadu,Salem,24.52,52,0.64,0.43,0,0.96,0.42,0.12,0.22,0.47,212,0.48,1,203
Industrial Corridors,Maharashtra,Pune,4.83,10,0.87,0.9,0,0.95,0.17,0.1,0.78,0.78,199,0.13,1,151
Solar Parks,Gujarat,Vadodara,58.8,62,0.69,0.44,0,0.99,0.5,0.81,0.41,0.58,168,0.2,1,164
Mining,Rajasthan,Udaipur,76.18,120,0.42,0.27,0,0.61,0.72,0.38,0.57,0.9,132,0.14,0,0
Highways,West Bengal,Paschim Bardhaman,13.08,26,0.25,0.39,1,0.2,0.14,0.61,0.29,0.41,167,0.5,1,258
Industrial Corridors,Karnataka,Ballari,53.74,41,0.89,0.41,1,0.89,0.78,0.37,0.84,0.44,170,0.18,1,216
Solar Parks,West Bengal,Hooghly,20.63,33,0.19,0.96,0,0.23,0.96,0.94,0.73,0.95,203,0.14,0,0
Railways,Madhya Pradesh,Gwalior,24.7,50,0.56,0.73,0,0.24,0.11,0.76,0.37,0.93,58,0.09,0,0
Railways,Odisha,Sundargarh,94.5,151,0.37,0.93,1,0.27,0.27,0.43,0.58,0.86,95,0.55,1,266
Railways,Maharashtra,Thane,14.99,30,0.33,0.85,0,0.69,0.59,0.29,0.17,0.5,170,0.12,0,0
Water Resources,Maharashtra,Nashik,14.97,24,0.65,0.65,0,0.2,0.3,0.22,0.19,0.83,174,0.07,0,0
Mining,Rajasthan,Jaipur,140.31,258,0.3,0.73,1,0.8,0.79,0.79,0.53,0.41,120,0.09,1,187
Railways,Odisha,Bhubaneswar,29.48,54,0.88,0.69,1,0.15,0.38,0.51,0.63,0.39,176,0.27,1,258
Water Resources,Bihar,Muzaffarpur,89.77,129,0.45,0.72,0,0.2,0.36,0.31,0.55,0.61,190,0.41,1,201
Urban Infrastructure,Uttar Pradesh,Lucknow,9.22,42,0.68,0.41,0,0.49,0.1,0.93,0.55,0.85,151,0.29,1,207
Water Resources,Gujarat,Vadodara,9.83,39,0.72,0.52,0,0.44,0.34,0.45,0.72,0.27,224,0.32,1,219
Highways,Maharashtra,Nagpur,15.95,42,0.68,0.66,0,0.99,0.3,0.59,0.86,0.62,232,0.6,0,0
Water Resources,Tamil Nadu,Kanchipuram,22.53,39,0.87,0.23,1,0.97,0.41,0.87,0.4,0.66,165,0.51,0,0
Mining,Maharashtra,Nashik,10.78,26,0.3,0.58,0,0.27,0.23,0.85,0.53,0.63,197,0.25,0,0
Industrial Corridors,West Bengal,Murshidabad,44.5,37,0.17,0.87,1,0.95,0.64,0.67,0.85,0.36,83,0.14,0,0
Water Resources,Maharashtra,Nashik,46.88,96,0.15,0.58,0,0.72,0.31,0.9,0.47,0.25,208,0.5,0,0
Railways,Maharashtra,Nagpur,16.14,56,0.85,0.63,0,0.47,0.85,0.96,0.45,0.87,225,0.39,0,0
Highways,Uttar Pradesh,Agra,17.2,40,0.93,0.36,0,0.77,0.36,0.94,0.74,0.63,114,0.63,0,0
Solar Parks,Uttar Pradesh,Kanpur,19.12,20,0.36,0.82,0,0.91,0.29,0.41,0.84,0.78,187,0.6,0,0
Railways,Karnataka,Ballari,13.04,13,0.69,0.48,1,0.26,0.15,0.46,0.71,0.47,75,0.39,1,259
Highways,Bihar,Darbhanga,3.27,19,0.11,0.95,0,0.28,0.77,0.32,0.14,0.23,124,0.09,0,0
Urban Infrastructure,Tamil Nadu,Madurai,30.94,44,0.26,0.98,0,0.47,0.56,0.85,0.47,0.39,136,0.07,1,150
Solar Parks,Maharashtra,Pune,23.47,39,0.69,0.91,1,0.25,0.2,0.21,0.24,0.26,93,0.55,1,273
Urban Infrastructure,Maharashtra,Thane,25.47,61,0.16,0.27,1,0.42,0.3,0.42,0.34,0.26,149,0.47,1,265
Industrial Corridors,Gujarat,Kutch,14.74,31,0.5,0.46,0,0.68,1.0,0.11,0.47,0.36,146,0.39,1,234
Highways,Uttar Pradesh,Lucknow,63.33,44,0.66,0.94,0,0.83,0.83,0.64,0.25,0.68,187,0.46,1,173
Urban Infrastructure,Tamil Nadu,Kanchipuram,230.51,281,0.75,0.83,1,0.37,0.41,0.69,0.51,0.81,91,0.37,0,0
Industrial Corridors,Rajasthan,Jaipur,16.99,24,0.49,0.91,1,0.35,0.59,0.32,0.63,0.82,188,0.4,0,0
Highways,Karnataka,Bengaluru Urban,101.47,191,0.64,0.65,0,0.8,0.47,0.76,0.84,0.9,124,0.19,0,0
Highways,Bihar,Muzaffarpur,44.4,52,0.56,0.57,1,0.44,0.13,0.44,0.24,0.69,102,0.32,1,296
Urban Infrastructure,Odisha,Bhubaneswar,34.07,26,0.14,0.28,0,0.84,0.8,0.38,0.33,0.21,151,0.06,1,185
Highways,Bihar,Muzaffarpur,25.15,37,0.73,0.85,0,0.99,0.75,0.96,0.42,0.48,193,0.45,0,0
Railways,West Bengal,Murshidabad,30.98,19,0.25,0.78,0,0.98,0.47,0.63,0.25,0.28,138,0.25,0,0
Highways,Maharashtra,Aurangabad,83.07,109,0.13,0.25,0,0.7,0.86,0.33,0.35,0.78,183,0.44,1,226
Mining,Karnataka,Dakshina Kannada,13.32,30,0.48,0.36,0,0.44,0.58,0.98,0.85,0.29,172,0.61,0,0
Industrial Corridors,West Bengal,Paschim Bardhaman,26.58,53,0.84,0.63,0,0.16,0.16,0.45,0.17,0.28,301,0.4,0,0
Highways,Tamil Nadu,Tiruchirappalli,89.95,104,0.23,0.73,1,0.76,0.33,0.68,0.45,0.22,145,0.25,1,242
Mining,Odisha,Bhubaneswar,72.75,29,0.11,0.31,0,0.98,0.52,0.75,0.33,0.92,152,0.17,1,177
Highways,Uttar Pradesh,Kanpur,13.49,29,0.19,0.39,1,0.16,0.19,0.48,0.12,0.79,209,0.2,1,328
Highways,Karnataka,Mysuru,28.61,38,0.41,0.35,0,0.11,0.61,0.58,0.14,0.45,157,0.64,1,208
Urban Infrastructure,Karnataka,Mysuru,59.29,95,0.59,0.37,0,0.85,0.21,0.32,0.76,0.48,171,0.42,1,210
Railways,Maharashtra,Aurangabad,56.3,108,0.26,0.92,1,0.19,0.28,0.52,0.82,0.24,80,0.31,1,226
Industrial Corridors,Madhya Pradesh,Gwalior,72.25,63,0.78,0.76,0,0.17,0.9,0.38,0.72,0.32,154,0.19,0,0
Railways,Karnataka,Mysuru,45.03,48,0.74,0.77,1,0.92,1.0,0.59,0.54,0.43,128,0.51,1,199
Solar Parks,Gujarat,Ahmedabad,51.5,44,0.69,0.82,0,0.17,0.6,0.7,0.75,0.49,138,0.28,1,252
Urban Infrastructure,Odisha,Bhubaneswar,43.56,45,0.51,0.48,1,0.2,0.66,0.65,0.19,0.66,171,0.23,1,237
Urban Infrastructure,Odisha,Jharsuguda,117.19,146,0.41,0.8,0,0.61,0.82,0.8,0.75,0.46,157,0.18,0,0
Railways,Gujarat,Vadodara,23.63,45,0.42,0.96,0,0.78,0.73,0.14,0.43,0.92,194,0.16,0,0
Water Resources,Rajasthan,Udaipur,34.42,63,0.53,0.74,1,0.46,0.26,0.17,0.73,0.46,202,0.21,1,437
